555,mamberamo tengah
554,nduga
553,lanny jaya
552,yalimo
551,puncak
550,dogiyai
549,deiyai
548,intan jaya
547,kepulauan yapen
546,tambrauw
545,pegunungan arfak
544,manokwari selatan
543,maybrat
542,tidore kepulauan
541,pulau morotai
540,tual
539,maluku barat daya
538,buru selatan
537,kepulauan siau tagulandang biaro
536,bolaang mongondow selatan
535,morowali utara
534,"banggai laut"
533,kolaka timur
532,konawe kepulauan
531,kepulauan selayar
530,mamuju tengah
529,malaka
528,mempawah
527,mahakam ulu
526,pesisir barat
525,tulang bawang barat
524,penukal abab lematang ilir
523,kepulauan mentawai
522,pesisir selatan
521,padang pariaman
520,pariaman
519,nias barat
518,nias utara
517,labuhan batu selatan
516,labuhan batu utara
515,sabu raijua
514,kepulauan anambas
513,mesuji
511,bolaang mongondow timur
510,sungai penuh
509,sungai penuh
477,sigi
476,"denpasar utara"
475,gunung sitoli
474,"mobagu"
473,pangandaran
472,lombok utara
471,pringsewu
470,tarakan
469,tana tidung
468,nunukan
467,malinau
466,bulungan
465,baturaja
464,bengkulu tengah
463,tangerang selatan
462,jayapura
461,mamberamo raya
460,yapen waropen
459,yahukimo
458,waropen
457,tolikara
456,supiori
455,sarmi
454,puncak jaya
453,pegunungan bintang
452,paniai
451,nabire
450,mimika
449,merauke
448,mappi
447,keerom
446,jayawijaya
445,jayapura
444,boven digoel
443,biak numfor
442,asmat
441,sorong
440,teluk wondama
439,teluk bintuni
438,sorong selatan
437,sorong
436,raja ampat
435,manokwari
434,kaimana
433,fak-fak
432,tidore
431,ternate
430,kepulauan sula
429,halmahera utara
428,halmahera timur
427,halmahera tengah
426,halmahera selatan
425,halmahera barat
424,ambon
423,seram bagian timur
422,seram bagian barat
421,maluku tenggara barat
420,maluku tenggara
419,maluku tengah
418,kepulauan aru
417,buru
416,polewali mandar
415,mamuju utara
414,mamuju
413,mamasa
412,majene
411,tomohon
410,manado
409,bitung
408,minahasa tenggara
407,minahasa selatan
406,minahasa utara
405,minahasa
404,kepulauan talaud
403,kepulauan sangihe
402,bolaang mongondow utara
401,bolaang mongondow
400,palu
399,toli-toli
398,tojo una-una
397,poso
396,parigi moutong
395,morowali
394,donggala
393,buol
392,banggai kepulauan
391,banggai
390,kendari
389,bau-bau
388,wakatobi
387,muna
386,konawe utara/ selatan
385,konawe
384,kolaka utara
383,kolaka
382,buton & buton utara
381,bombana
380,pare-pare
379,palopo
378,makassar
377,wajo
376,tana toraja utara
375,tana toraja
374,takalar
373,soppeng
372,sindenreng rappang
371,sinjai
370,selayar
369,pinrang
368,pangkajene kepulauan
367,maros
366,luwu utara
365,luwu timur
364,luwu
363,jeneponto
362,gowa
361,enrekang
360,bulukumba
359,bone
358,barru
357,bantaeng
356,gorontalo
355,pohuwato
354,gorontalo utara
353,gorontalo
352,bone bolango
351,boalemo
350,tarakan
349,samarinda
348,bontang
347,balikpapan
346,tana tidung
345,penajam paser utara
344,paser
343,nunukan
342,malinau
341,kutai timur
340,kutai kartanegara
339,kutai barat
338,bulungan
337,berau
336,palangkaraya
335,seruyan
334,sukamara
333,pulang pisau
332,murung raya
331,lamandau
330," waringin timur"
329," waringin barat"
328,katingan
327,kapuas
326,gunung mas
325,barito utara
324,barito timur
323,barito selatan
322,banjarmasin
321,banjarbaru
320,tapin
319,tanah bumbu
318,tabalong
317,tanah laut
316,baru
315,hulu sungai utara
314,hulu sungai tengah
313,hulu sungai selatan
312,barito kuala
311,banjar
310,balangan
309,singkawang
308,pontianak
307,kubu raya
306,sintang
305,sekadau
304,sanggau
303,sambas
302,pontianak
301,melawi
300,landak
299,kayong utara
298,ketapang
297,kapuas hulu
296,bengkayang
295,kupang
294,timor tengah utara
293,timor tengah selatan
292,sumba timur
291,sumba tengah
290,sumba barat daya
289,sumba barat
288,sikka
287,rote ndao
286,ngada
285,nagekeo
284,manggarai timur
283,manggarai barat
282,manggarai
281,lembata
280,kupang
279,flores timur
278,ende
277,belu
276,alor
275,bima
274,mataram
273,sumbawa barat
272,sumbawa
271,lombok timur
270,lombok tengah
269,lombok barat
268,dompu
267,bima
266,denpasar
265,tabanan
264,klungkung
263,karangasem
262,jembrana
261,gianyar
260,buleleng
259,bangli
258,badung
257,yogyakarta
256,sleman
255,kulon progo
254,gunung kidul
253,bantul
252,surabaya
251,probolinggo
250,pasuruan
249,mojokerto
248,malang
247,madiun
246,kediri
245,blitar
244,batu
243,tulungagung
242,tuban
241,trenggalek
240,sumenep
239,situbondo
238,sidoarjo
237,sampang
236,probolinggo
235,ponorogo
234,pasuruan
233,pamekasan
232,pacitan
231,ngawi
230,nganjuk
229,mojokerto
228,malang
227,magetan
226,madiun
225,lumajang
224,lamongan
223,kediri
222,jombang
221,jember
220," gresik"
219,bondowoso
218,bojonegoro
217,blitar
216,banyuwangi
215,bangkalan
214,tegal
213,pekalongan
212,semarang
211,salatiga
210,surakarta
209,magelang
208,wonosobo
207,wonogiri
206,temanggung
205,tegal
204,sukoharjo
203,sragen
202,semarang
201,rembang
200,purworejo
199,purbalingga
198,pemalang
197,pekalongan
196,pati
195,magelang
194,kudus
193,klaten
192,kendal
191,kebumen
190,karang anyar
189,jepara
188,grobogan
187,demak
186,cilacap
185,brebes
184,boyolali
183,blora
182,batang
181,banyumas
180,banjarnegara
179,kepulauan seribu
178,jakarta timur
177,jakarta utara
176,jakarta pusat
175,jakarta selatan
174,jakarta barat
173,tasikmalaya
172,sukabumi
171,depok
170,cirebon
169,cimahi
168,bogor
167,bekasi
166,banjar
165,bandung
164,tasikmalaya
163,sumedang
162,sukabumi
161,subang
160,purwakarta
159,majalengka
158,kuningan
157,karawang
156,indramayu
155,garut
154,cirebon
153,cianjur
152,ciamis
151,bogor
150,bekasi
149,bandung barat
148,bandung
147,serang
146,tangerang
145,cilegon
144,tangerang
143,serang
142,pandeglang
141,lebak
140,tanjung pinang
139,batam
138,natuna
137,lingga
136,bintan
135,karimun
134,pangkal pinang
133,belitung timur
132,belitung
131,bangka selatan
130,bangka tengah
129,bangka barat
128,bangka
127,metro
126,bandar lampung
125,pesawaran
124,tulang bawang
123,tanggamus
122,way kanan
121,lampung utara
120,lampung timur
119,lampung tengah
118,lampung selatan
117,lampung barat
116,prabumulih
115,palembang
114,pagar alam
113,lubuk linggau
112,ogan komering ulu selatan
111,ogan komering ulu timur
110,ogan komering ulu
109,ogan komering ilir
108,ogan ilir
107,musi rawas
106,musi banyuasin
105,muara enim
104,lahat
103,empat lawang
102,banyuasin
101,solok
100,sawahlunto
99,payakumbuh
98,pariaman
97,padang panjang
96,padang
95,bukit tinggi
94,tanah datar
93,solok selatan
92,solok
91,sijunjung
90,pesisir selatan
89,pasaman barat
88,pasaman
87,padang pariaman
86,kepulauan mentawai
85,lima puluh
84,dharmasraya
83,agam
82,pekanbaru
81,dumai
80,siak
79,rokan hilir
78,rokan hulu
77,pelalawan
76,kuantan sengingi
75,kepulauan meranti
74,kampar
73,indragiri hulu
72,indragiri hilir
71,bengkalis
70,jambi
69,tebo
68,tanjung jabung barat
67,tanjung jabung timur
66,sarolangun
65,muaro jambi
64,merangin
63,kerinci
62,bungo
61,batang hari
60,bengkulu
59,seluma
58,rejang lebong
57,muko-muko
56,lebong
55,kepahiang
54,kaur
53,bengkulu utara
52,bengkulu selatan
51,tebing tinggi
50,tanjung balai
49,sibolga
48,pematangsiantar
47,padang sidempuan
46,medan
45,binjai
44,toba samosir
43,tapanuli utara
42,tapanuli tengah
41,tapanuli selatan
40,simalungun
39,serdang bedagai
38,samosir
37,pakpak barat
36,padang lawas utara
35,padang lawas
34,nias selatan
33,nias
32,mandailing natal
31,langkat
30,labuhan batu
29,karo
28,humbang hasudutan
27,deli serdang
26,dairi
25,batubara
24,asahan
23,subulussalam
22,sabang
21,lhokseumawe
20,langsa
19,banda aceh
18,simeuleu
17,pidie jaya
16,pidie
15,nagan raya
14,gayo lues
13,bireuen
12,bener meriah
11,aceh utara
10,aceh timur
9,aceh tenggara
8,aceh tengah
7,aceh tamiang
6,aceh singkil
5,aceh selatan
4,aceh jaya
3,aceh besar
2,aceh barat daya
1,aceh barat
